state,race_eth,year,demVote,repVote,pop,turnout
New Mexico,Other,2012,0.58060567557718,0.366032019051897,161265,0.413814025881081
New Mexico,White,2004,0.431989500472592,0.558505977216414,639690,0.701775240691927
New Mexico,White,2012,0.43199708693534,0.52991033191143,686045,0.637031414133933
New York,Black,2004,0.888162089909066,0.0953109912734268,1661230,0.539840897303105
New York,Black,2012,0.970588834632334,0.0199518129471245,1856427,0.577875295902069
New York,Hispanic,2004,0.687261126977498,0.292884098620589,1468435,0.461249324721147
New York,Hispanic,2012,0.79291911002664,0.189421731686849,1762204,0.433649417334811
New York,Other,2004,0.60735020074236,0.364811338314295,750600,0.451791752488183
New York,Other,2012,0.716213627713603,0.263517097500746,1006445,0.369968263347788
New York,White,2004,0.519522887595774,0.466350230960504,8568977,0.639367402797611
New York,White,2012,0.527896695848696,0.456920682921353,8769810,0.555567480882628
North Carolina,Black,2004,0.882958280097674,0.11118332977627,1190518,0.581329158930938
North Carolina,Black,2012,0.957366143381099,0.0342397626658242,1531584,0.687586530318596
North Carolina,Hispanic,2004,0.536941798349077,0.456997774197903,105102,0.420876604658839
North Carolina,Hispanic,2012,0.665446838168876,0.317199811114083,213744,0.534937872475449
North Carolina,Other,2004,0.465583578602509,0.527821798045766,168656,0.447904853416405
North Carolina,Other,2012,0.594639989273455,0.386596308532445,260929,0.548625977866613
North Carolina,White,2004,0.317422430782783,0.677254661839828,4355357,0.61743442873172
North Carolina,White,2012,0.315821374710673,0.670695407006818,4997960,0.639217457295959
North Dakota,Black,2004,0.862447485321859,0.122492015474833,1902,0.672508304192913
North Dakota,Black,2012,0.875087366849549,0.0995915129839949,4203,0.569464833807623
North Dakota,Hispanic,2004,0.560429742176955,0.4186093391333,4299,0.51329867222064
North Dakota,Hispanic,2012,0.607585856326716,0.354445540986678,9409,0.416020963450605
North Dakota,Other,2004,0.427029348851195,0.538654936891416,26195,0.480944968435686
North Dakota,Other,2012,0.533188438336249,0.425316169783617,34889,0.474156279263238
North Dakota,White,2004,0.348214587431105,0.636175712789528,433399,0.684701314175772
North Dakota,White,2012,0.372056570557808,0.598783954038738,488037,0.614249247196968
Ohio,Black,2004,0.883583592237609,0.110453962083764,865161,0.655892151290412
Ohio,Black,2012,0.95184069933252,0.0363386686148752,992072,0.688624024470053
Ohio,Hispanic,2004,0.544244117305386,0.449600394427166,132162,0.545075039139571
Ohio,Hispanic,2012,0.651087365999251,0.326098664957361,184836,0.519126857076234
Ohio,Other,2004,0.504653993758977,0.488789705515808,143144,0.557522592578107
Ohio,Other,2012,0.616589193131624,0.358215884371248,224097,0.589387623217848
Ohio,White,2004,0.439668711643188,0.554835086086151,7081111,0.693197927367015
Ohio,White,2012,0.434539894450738,0.546613798443601,7291769,0.641783366615691
Oklahoma,Black,2004,0.855895961207748,0.138554800749042,162145,0.607583899070445
